Date,Market,Chain,Product,Return,Sum
2023-01-21,Wellmart,Wellmart ботаник,259200.0,72000.0,331200.0
2023-01-23,Wellmart,Wellmart Модны-2,259200.0,72000.0,331200.0
2023-02-02,Wellmart,Wellmart ХУД,374400.0,72000.0,446400.0
2023-02-09,Wellmart,Wellmart Нисэх,475200.0,244800.0,720000.0
2023-02-10,Wellmart,Wellmart Модны-2,648000.0,14400.0,662400.0
2023-03-03,Wellmart,Wellmart Нисэх,216000.0,28800.0,244800.0
2023-03-11,Wellmart,Wellmart ХУД,230400.0,86400.0,316800.0
2023-03-13,Wellmart,Wellmart 5шар,403200.0,115200.0,518400.0
2023-03-16,Wellmart,Wellmart оффицер,115200.0,100800.0,216000.0
2023-03-17,Wellmart,Wellmart Модны-2,144000.0,86400.0,230400.0
